icdCode,icdDescription,hccCategory,hccDescription,relativeFactorDual,relativeFactorNondual,modelYear,hierarchyGroup
E11.9,Type 2 diabetes mellitus without complications,19,Diabetes without Complication,0.302,0.302,2024,Diabetes
E11.65,Type 2 diabetes mellitus with hyperglycemia,19,Diabetes without Complication,0.302,0.302,2024,Diabetes
E11.40,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",18,Diabetes with Chronic Complications,0.32,0.318,2024,Diabetes
I50.9,"Heart failure, unspecified",85,Congestive Heart Failure,0.323,0.331,2024,Cardiovascular
I50.22,Chronic systolic heart failure,85,Congestive Heart Failure,0.323,0.331,2024,Cardiovascular
J44.1,Chronic obstructive pulmonary disease with acute exacerbation,111,Chronic Obstructive Pulmonary Disease,0.335,0.335,2024,Pulmonary
N18.4,"Chronic kidney disease, stage 4",138,"Chronic Kidney Disease, Stage 4",0.289,0.289,2024,Renal
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,9,Lung and Other Severe Cancers,1.023,1.023,2024,Cancer
G35,Multiple sclerosis,77,Multiple Sclerosis,0.421,0.421,2024,Neurological
I21.9,"Acute myocardial infarction, unspecified",86,Acute Myocardial Infarction,0.278,0.278,2024,Cardiovascular
